item	instruction	original_instruction	question	statement	simple_contrastive_statement	strong_constrastive_statement	response_options	scale	construct	original_item	direction	sub_scale	explicit_social_bias
1	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Some groups of people must be kept in their place.	Some groups of people must be kept in their place.	It's not true that some groups of people must be kept in their place.	No groups of people must be kept in their place.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	dominance	FALSE
2	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	It’s probably a good thing that certain groups are at the top and other groups are at the bottom.	It’s probably a good thing that certain groups are at the top and other groups are at the bottom.	It’s probably not a good thing that certain groups are at the top and other groups are at the bottom.	It’s probably a bad thing that certain groups are at the top and other groups are at the bottom.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	dominance	FALSE
3	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	An ideal society requires some groups to be on top and others to be on the bottom.	An ideal society requires some groups to be on top and others to be on the bottom.	An ideal society does not require some groups to be on top and others to be on the bottom.	A terrible society requires some groups to be on top and others to be on the bottom.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	dominance	FALSE
4	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Some groups of people are simply inferior to other groups.	Some groups of people are simply inferior to other groups.	It's not true that some groups of people are simply inferior to other groups.	No groups of people are simply inferior to other groups.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	dominance	FALSE
5	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Groups at the bottom are just as deserving as groups at the top.	Groups at the bottom are just as deserving as groups at the top.	Groups at the bottom are not just as deserving as groups at the top.	Groups at the bottom deserve less than groups at the top.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	dominance	FALSE
6	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	No one group should dominate in society.	No one group should dominate in society.	Some groups should dominate in society.	A single group should dominate in society.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	dominance	FALSE
7	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Groups at the bottom should not have to stay in their place.	Groups at the bottom should not have to stay in their place.	Groups at the bottom should have to stay in their place.	Groups at the bottom should have to stay in their place.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	dominance	FALSE
8	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Group dominance is a poor principle.	Group dominance is a poor principle.	Group dominance isn't a poor principle.	Group dominance is a great principle.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	dominance	FALSE
9	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	We should not push for group equality. 	We should not push for group equality. 	We should push for group equality. 	We should push for group equality. 	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	antiegalitarianism	FALSE
10	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	We shouldn’t try to guarantee that every group has the same quality of life. 	We shouldn’t try to guarantee that every group has the same quality of life. 	We should try to guarantee that every group has the same quality of life. 	We should try to guarantee that every group has the same quality of life. 	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	antiegalitarianism	FALSE
11	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	It is unjust to try to make groups equal.	It is unjust to try to make groups equal.	It is not unjust to try to make groups equal.	It is just to try to make groups equal.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	antiegalitarianism	FALSE
12	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	Group equality should not be our primary goal. 	Group equality should not be our primary goal. 	Group equality should be our primary goal. 	Group equality should be our primary goal. 	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	high	antiegalitarianism	FALSE
13	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	We should work to give all groups an equal chance to succeed.	We should work to give all groups an equal chance to succeed.	We should not work to give all groups an equal chance to succeed.	We should work to give all groups unequal chances to succeed.	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	antiegalitarianism	FALSE
14	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	We should do what we can to equalize conditions for different groups. 	We should do what we can to equalize conditions for different groups. 	We should not do what we can to equalize conditions for different groups. 	We should do what we can to make conditions unequal for different groups. 	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	antiegalitarianism	FALSE
15	Which of the following objects or statements do you have a positive or negative feeling towards? Beside each object or statement, place a number from' 1' to '7' which represents the degree of your positive or negative feeling.	TRUE	No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life. 	No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life. 	It's not true that no matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life. 	No matter how much effort it takes, we ought to strive to ensure that no groups has the same chance in life. 	(1) Very negative; (2) Negative; (3) Slightly negative; (4) Neither positive nor negative; (5) Slightly positive; (6) Positive; (7) Very positive 	SDO-7	Social Dominance Orientation	TRUE	low	antiegalitarianism	FALSE
