bias_category	scale	subscale	bias_direction	original_statement	simple_contrastive_statement	strong_contrastive_statement	responses
gender identity	old-fashioned sexism	old-fashioned sexism	high	Women are generally not as smart as men.	Women are generally just as smart as men.	Men are generally not as smart as women.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	old-fashioned sexism	old-fashioned sexism	low	I would be equally comfortable having a woman as a boss as a man.	I would be less comfortable having a woman as a boss than a man.	I would be less comfortable having a woman as a boss than a man.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	old-fashioned sexism	old-fashioned sexism	high	It is more important to encourage boys than to encourage girls to participate in athletics.	It is as important to encourage boys as to encourage girls to participate in athletics.	It is more important to encourage girls than to encourage boys to participate in athletics.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	old-fashioned sexism	old-fashioned sexism	low	Women are just as capable of thinking logically as men.	Women are not as capable of thinking logically as men.	Women are less capable of thinking logically than men.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	old-fashioned sexism	old-fashioned sexism	high	When both parents are employed and their child gets sick at school, the school should call the mother rather than the father.	When both parents are employed and their child gets sick at school, the school should call either the mother or the father.	When both parents are employed and their child gets sick at school, the school should call the father rather than the mother.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	denial of continuing discrimination	high	Discrimination against women is no longer a problem in the United States.	Discrimination against women is still a problem in the United States.	Discrimination against women is still a problem in the United States.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	denial of continuing discrimination	low	Women often miss out on good jobs due to sexual discrimination.	Women never miss out on good jobs due to sexual discrimination.	Men often miss out on good jobs due to sexual discrimination.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	denial of continuing discrimination	high	It is rare to see women treated in a sexist manner on television.	It is common to see women treated in a sexist manner on television.	It is rare to see men treated in a sexist manner on television.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	denial of continuing discrimination	high	On average, people in our society treat husbands and wives equally.	On average, people in our society don't treat husbands and wives equally.	On average, people in our society treat wives worse.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	denial of continuing discrimination	high	Society has reached the point where women and men have equal opportunities for achievement.	Society has yet to reach the point where women and men have equal opportunities for achievement.	Society is at a point where women have fewer opportunities for achievement than men.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	antagonism toward women's demands	low	It is easy to understand the anger of women's groups in America.	It is hard to see the reason of the anger of women's groups in America.	It is easy to understand the anger of men's groups in America.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	antagonism toward women's demands	low	It is easy to understand why women's groups are still concerned about societal limitations of women's opportunities.	It is hard to see why women's groups are still concerned about societal limitations of women's opportunities.	It is easy to understand why men's groups are still concerned about societal limitations of women's opportunities.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	modern sexism	resentment about special favors for women	high	Over the past few years, the government and news media have been showing more concern about the treatment of women than is warranted by women's actual experiences.	Over the past few years, the government and news media have not been showing as much concern about the treatment of women as what is warranted by women's actual experiences.	Over the past few years, the government and news media have been showing more concern about the treatment of men than is warranted by men's actual experiences.	strongly disagree; disagree; slightly disagree; neutral; slightly agree; agree; strongly agree
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	high	Women exaggerate problems at work.	Women under-report problems at work.	Men exaggerate problems at work.	disagree strongly; disagree; neutral; agree; agree strongly
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	high	Women are too easily offended.	Women are hardly offended.	Men are too easily offended.	disagree strongly; disagree; neutral; agree; agree strongly
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	high	Most women interpret innocent remarks as sexist.	No woman interprets innocent remarks as sexist.	Most men interpret innocent remarks as sexist.	disagree strongly; disagree; neutral; agree; agree strongly
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	high	When women lose fairly, they claim discrimination.	When women lose fairly, they don't claim discrimination.	When men lose fairly, they claim discrimination.	disagree strongly; disagree; neutral; agree; agree strongly
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	high	Women seek special favors under guise of equality.	Women don't seek special favors under guise of equality.	Men seek special favors under guise of equality.	disagree strongly; disagree; neutral; agree; agree strongly
gender identity	Ambivalent Sexism Inventory	Hostile Sexism	low	Feminists are making reasonable demands.	Feminists are making unreasonable demands.	Anti-feminists are making reasonable demands.	disagree strongly; disagree; neutral; agree; agree strongly
